CityID,City,CountryID,Country,Latitude,Longitude
56,Franklin,8,United States,35.9250637,-86.8688899
57,Fresno,8,United States,36.7377981,-119.7871247
58,Henderson,8,United States,36.0395247,-114.9817213
59,Houston,8,United States,29.7604267,-95.3698028
60,Huntsville,8,United States,34.7303688,-86.5861037
61,Indianapolis,8,United States,39.768403,-86.158068
62,Jackson,8,United States,42.245869,-84.4013462
63,Jacksonville,8,United States,30.3321838,-81.655651
64,Lafayette,8,United States,30.2240897,-92.0198427
65,Lakeland,8,United States,28.0394654,-81.9498042
66,Lakewood,8,United States,41.4819932,-81.7981908
67,Lancaster,8,United States,40.0378755,-76.3055144
68,Las Vegas,8,United States,36.171563,-115.1391009
69,Lawrence,8,United States,38.9716689,-95.2352501
70,Long Beach,8,United States,33.7700504,-118.1937395
71,Los Angeles,8,United States,34.0522342,-118.2436849
72,Louisville,8,United States,38.2526647,-85.7584557
73,Memphis,8,United States,35.1495343,-90.0489801
74,Miami,8,United States,25.7616798,-80.1917902
75,Milwaukee,8,United States,43.0389025,-87.9064736
76,Minneapolis,8,United States,44.977753,-93.2650108
77,Nashville,8,United States,36.1626638,-86.7816016
78,New York City,8,United States,40.7127753,-74.0059728
79,Newark,8,United States,40.735657,-74.1723667
80,Oakland,8,United States,37.8043514,-122.2711639
81,Oklahoma City,8,United States,35.4675602,-97.5164276
82,Omaha,8,United States,41.2565369,-95.9345034
83,Philadelphia,8,United States,39.9525839,-75.1652215
84,Phoenix,8,United States,33.4483771,-112.0740373
85,Providence,8,United States,41.8239891,-71.4128343
86,Raleigh,8,United States,35.7795897,-78.6381787
87,Richmond,8,United States,37.5407246,-77.4360481
88,Rochester,8,United States,43.1565779,-77.6088465
89,Roswell,8,United States,33.3942655,-104.5230242
90,Sacramento,8,United States,38.5815719,-121.4943996
91,San Antonio,8,United States,29.4251905,-98.4945922
92,San Diego,8,United States,32.715738,-117.1610838
93,San Francisco,8,United States,37.7749295,-122.4194155
94,San Jose,8,United States,37.33874,-121.8852525
95,Seattle,8,United States,47.6062095,-122.3320708
96,Springfield,8,United States,42.1014831,-72.589811
97,Tallahassee,8,United States,30.4382559,-84.2807329
98,Tampa,8,United States,27.950575,-82.4571776
99,Tucson,8,United States,32.2539787,-110.9741769
100,Tulsa,8,United States,36.1539816,-95.992775
101,Virginia Beach,8,United States,36.8516437,-75.9792194
102,Wilmington,8,United States,39.744655,-75.5483909
103,Yonkers,8,United States,40.9312099,-73.8987469
104,Adelaide,9,Australia,-34.9284989,138.6007456
105,Brisbane,9,Australia,-27.4704528,153.0260341
106,Canberra,9,Australia,-35.2801903,149.1310038
107,Geelong,9,Australia,-38.1492994,144.3598426
108,Gold Coast,9,Australia,-28.016667,153.4
109,Hobart,9,Australia,-42.8826055,147.3257196
110,Melbourne,9,Australia,-37.8136276,144.9630576
111,Perth,9,Australia,-31.9523123,115.861309
112,Sydney,9,Australia,-33.8688197,151.2092955
113,Wollongong,9,Australia,-34.4248336,150.8931132
114,Auckland,10,New Zealand,-36.8508827,174.7644881
115,Wellington,10,New Zealand,-41.2923814,174.7787463
116,Beijing,11,China,39.904211,116.407395
117,Chengdu,11,China,30.5722599,104.0665099
118,Guangzhou,11,China,23.1290799,113.26436
119,Shanghai,11,China,31.230416,121.473701
120,Shenzhen,11,China,22.5428599,114.05956
121,Suzhou,11,China,31.2983399,120.58319
122,Tianjin,11,China,39.0850999,117.19937
123,Bandung,12,Indonesia,-6.9174639,107.6191228
124,Jakarta,12,Indonesia,-6.2087634,106.845599
125,Surabaya,12,Indonesia,-7.2574719,112.7520883
126,Davao City,13,Philippines,7.190708,125.455341
127,Manila,13,Philippines,14.5995124,120.9842195
128,Quezon City,13,Philippines,14.6760413,121.0437003
129,Singapore,14,Singapore,1.352083,103.819836
130,Busan,15,South Korea,35.2100142,129.0688702
131,Daegu,15,South Korea,35.8294374,128.5655119
132,Gwangju,15,South Korea,35.1557358,126.8354271
133,Incheon,15,South Korea,37.4562557,126.7052062
134,Seoul,15,South Korea,37.5518911,126.9917937
135,Taipei,16,Taiwan,25.0329636,121.5654268
136,Bangalore,17,India,12.9715987,77.5945627
137,Chennai,17,India,13.0826802,80.2707184
138,Delhi,17,India,28.7040592,77.1024902
139,Hyderabad,17,India,17.385044,78.486671
140,Kolkata,17,India,22.572646,88.363895
141,Mumbai,17,India,19.0759837,72.8776559
142,Aichi,18,Japan,35.0182505,137.2923893
